iter	Passed	Remaining
142	255	1529
143	255	1520
144	256	1513
145	257	1504
146	258	1497
147	259	1491
148	259	1483
149	260	1475
150	260	1467
151	261	1458
152	262	1450
153	262	1442
154	263	1434
155	263	1427
156	264	1419
157	265	1412
158	265	1406
159	266	1400
160	267	1391
161	267	1384
162	268	1377
163	268	1371
164	269	1363
165	270	1357
166	270	1350
167	271	1343
168	271	1337
169	274	1338
170	274	1332
171	275	1325
172	275	1318
173	276	1311
174	276	1304
175	277	1297
176	277	1291
177	278	1284
178	278	1277
179	279	1271
180	279	1264
181	280	1259
182	280	1254
183	281	1248
184	282	1243
185	282	1237
186	283	1231
187	283	1225
188	284	1219
189	284	1213
190	285	1208
191	285	1203
192	286	1197
193	286	1191
194	287	1186
195	288	1181
196	288	1176
197	289	1171
198	290	1167
199	290	1162
200	291	1157
201	291	1152
202	292	1147
203	292	1142
204	293	1137
205	293	1132
206	294	1127
207	294	1122
208	295	1118
209	296	1115
210	297	1111
211	297	1107
212	298	1102
213	299	1101
214	300	1097
215	301	1092
216	301	1088
217	302	1083
218	302	1079
219	303	1075
220	303	1071
221	304	1067
222	305	1063
223	305	1059
224	306	1054
225	306	1050
226	307	1046
227	307	1041
228	308	1037
229	308	1033
230	309	1029
231	309	1025
232	310	1022
233	311	1018
234	311	1015
235	312	1011
236	313	1008
237	313	1004
238	314	1001
239	314	997
240	315	993
241	316	990
242	316	986
243	317	983
244	318	981
245	319	979
246	320	976
247	320	973
248	321	969
249	322	966
250	322	963
251	323	959
252	323	956
253	324	952
254	325	951
255	326	948
256	328	949
257	329	946
258	329	943
259	330	939
260	330	936
261	331	933
262	331	930
263	334	933
264	335	930
265	336	927
266	336	924
267	337	921
268	337	918
269	338	915
270	339	911
271	339	908
272	342	912
273	343	910
274	344	907
275	344	903
276	345	900
277	345	897
278	346	894
279	346	891
280	349	894
281	350	893
282	351	890
283	352	887
284	352	884
285	353	881
286	353	878
287	354	875
288	354	872
289	357	876
290	358	873
291	359	870
292	359	867
293	360	865
294	360	862
295	361	859
296	361	856
297	362	853
298	365	857
299	366	854
300	366	852
301	367	849
302	367	846
303	368	843
304	369	842
305	370	839
306	372	841
307	373	839
308	374	836
309	375	835
310	376	833
311	377	831
312	377	829
313	378	827
314	379	825
315	380	822
316	380	820
317	381	818
318	382	816
319	383	814
320	385	815
321	386	812
322	387	811
323	395	826
324	396	824
325	401	829
326	402	828
327	403	825
328	403	823
329	404	821
330	405	819
331	405	816
332	406	814
333	408	814
334	409	812
335	409	810
336	410	807
337	411	806
338	412	803
339	412	801
340	413	798
341	414	797
342	417	800
343	418	798
344	419	795
345	419	793
346	420	790
347	422	791
348	423	789
349	424	788
350	425	786
351	425	784
352	426	781
353	427	779
354	427	777
355	429	776
356	429	774
357	430	772
358	431	770
359	432	768
360	432	765
361	433	763
362	433	761
363	434	759
364	434	756
365	436	756
366	437	754
367	437	751
368	438	749
369	439	747
370	439	745
371	440	743
372	440	740
373	441	738
374	441	736
375	442	734
376	444	733
377	445	732
378	445	730
379	446	728
380	446	726
381	447	723
382	448	722
383	448	720
384	449	718
385	452	719
386	453	717
387	453	715
388	454	713
389	455	711
390	455	709
391	456	707
392	456	705
393	459	706
394	460	705
395	461	703
396	461	701
397	462	699
398	462	697
399	463	694
400	463	692
401	464	690
402	468	693
403	469	691
404	469	689
405	470	688
406	470	685
407	471	684
408	472	682
409	474	683
410	476	682
411	476	680
412	477	678
413	477	676
414	478	674
415	479	673
416	482	674
417	483	672
418	483	670
419	484	668
420	484	666
421	485	664
422	486	662
423	486	661
424	487	659
425	489	659
426	490	658
427	491	656
428	491	654
429	492	652
430	493	651
431	494	650
432	495	648
433	496	647
434	497	645
435	498	644
436	498	642
437	499	640
438	499	638
439	500	637
440	501	635
441	502	634
442	503	633
443	504	631
444	504	629
445	506	629
446	507	627
447	508	626
448	510	626
449	511	624
450	512	623
451	513	621
452	513	620
453	514	618
454	515	617
455	518	618
456	519	617
457	520	615
458	521	614
459	521	612
460	522	611
461	525	612
462	527	611
463	527	609
464	528	607
465	529	606
466	529	604
467	530	602
468	530	601
469	534	602
470	535	601
471	536	599
472	536	598
473	537	596
474	538	594
475	540	595
476	542	594
477	542	592
478	543	591
479	544	589
480	544	587
481	545	585
482	545	584
483	551	587
484	552	586
485	553	585
486	554	584
487	555	582
488	556	581
489	557	580
490	558	578
491	559	577
492	559	575
493	560	574
494	562	573
495	563	572
496	563	570
497	564	569
498	565	567
499	566	566
500	567	564
501	568	563
502	571	564
503	572	562
504	572	561
505	573	560
506	574	558
507	575	557
508	575	555
509	578	555
510	579	554
511	579	552
512	580	551
513	581	550
514	582	548
515	584	547
516	585	546
517	587	546
518	590	546
519	591	546
520	593	545
521	594	544
522	600	547
523	602	546
524	602	545
525	603	543
526	607	545
527	608	543
528	609	542
529	609	540
530	610	538
531	610	537
532	611	535
533	614	536
534	615	534
535	615	533
536	616	531
537	616	529
538	617	528
539	617	526
540	618	524
541	619	523
542	624	525
543	625	524
544	625	522
545	626	520
546	629	521
547	630	520
548	631	518
549	632	517
550	632	515
551	633	514
552	634	512
553	637	513
554	639	512
555	640	511
556	641	509
557	641	508
558	646	510
559	647	508
560	648	507
561	648	505
562	649	504
563	653	504
564	654	503
565	655	502
566	655	500
567	656	499
568	657	497
569	661	498
570	662	497
571	662	496
572	663	494
573	664	492
574	664	491
575	667	491
576	669	490
577	670	489
578	670	487
579	672	486
580	676	487
581	677	486
582	677	484
583	678	483
584	679	481
585	681	481
586	682	480
587	683	479
588	684	477
589	685	476
590	686	474
591	686	473
592	687	471
593	693	474
594	695	473
595	698	473
596	700	472
597	700	471
598	701	469
599	701	467
600	703	466
601	708	468
602	710	467
603	712	467
604	714	466
605	715	465
606	716	463
607	717	462
608	720	462
609	721	461
610	722	459
611	723	458
612	723	457
613	724	455
614	726	454
615	728	454
616	729	452
617	730	451
618	731	450
619	732	448
620	735	448
621	736	447
622	739	447
623	741	446
624	742	445
625	743	443
626	744	442
627	745	441
628	745	439
629	748	439
630	750	438
631	752	438
632	755	437
633	756	436
634	756	435
635	758	433
636	759	432
637	763	433
638	764	432
639	766	431
640	767	429
641	774	432
642	776	431
643	778	430
644	780	429
645	786	431
646	789	430
647	794	431
648	796	430
649	797	429
650	797	427
651	802	428
652	803	426
653	805	425
654	805	424
655	810	424
656	811	423
657	811	421
658	812	420
659	813	419
660	818	419
661	819	418
662	820	417
663	821	415
664	825	415
665	826	414
666	826	412
667	828	411
668	829	410
669	830	409
670	844	413
671	845	412
672	847	411
673	849	410
674	853	410
675	853	409
676	854	407
677	855	406
678	860	406
679	861	405
680	866	405
681	877	408
682	879	408
683	886	409
684	887	408
685	889	407
686	890	405
687	891	404
688	892	402
689	895	402
690	898	401
691	899	400
692	900	398
693	903	398
694	905	397
695	908	396
696	910	395
697	913	395
698	914	393
699	916	392
700	917	391
701	919	390
702	920	388
703	921	387
704	922	385
705	923	384
706	923	382
707	924	381
708	927	380
709	928	379
710	929	377
711	930	376
712	931	374
713	932	373
714	933	372
715	934	370
716	935	369
717	936	367
718	937	366
719	938	364
720	940	363
721	941	362
722	942	361
723	943	359
724	944	358
725	945	356
726	946	355
727	949	354
728	950	353
729	951	351
730	952	350
731	953	348
732	953	347
733	959	347
734	967	348
735	969	347
736	970	346
737	972	345
738	980	346
739	989	347
740	993	347
741	993	345
742	996	344
743	997	343
744	998	341
745	1014	345
746	1014	345
747	1017	343
748	1020	342
749	1023	341
750	1025	340
751	1030	340
752	1031	338
753	1031	337
754	1035	336
755	1037	335
756	1038	333
757	1043	333
758	1075	342
759	1079	341
760	1086	341
761	1095	342
762	1096	341
763	1099	339
764	1101	338
765	1103	337
766	1104	336
767	1107	334
768	1108	333
769	1109	331
770	1110	330
771	1117	330
772	1123	330
773	1125	328
774	1133	329
775	1134	327
776	1136	326
777	1138	325
778	1139	323
779	1139	321
780	1140	320
781	1141	318
782	1142	317
783	1144	315
784	1145	314
785	1146	312
786	1147	310
787	1148	309
788	1153	308
789	1154	307
790	1155	305
791	1156	304
792	1158	302
793	1159	301
794	1160	299
795	1161	298
796	1162	296
797	1162	294
798	1168	294
799	1176	294
800	1177	292
801	1178	291
802	1180	290
803	1182	288
804	1183	286
805	1183	285
806	1184	283
807	1185	282
808	1188	280
809	1189	279
810	1190	277
811	1190	276
812	1191	274
813	1192	272
814	1192	271
815	1193	269
816	1195	268
817	1196	266
818	1197	265
819	1198	263
820	1199	261
821	1200	260
822	1200	258
823	1202	257
824	1203	255
825	1204	254
826	1205	252
827	1206	250
828	1207	249
829	1207	247
830	1213	247
831	1213	245
832	1214	243
833	1215	242
834	1220	241
835	1221	239
836	1222	238
837	1226	237
838	1227	235
839	1228	234
840	1229	232
841	1230	231
842	1232	229
843	1234	228
844	1234	226
845	1235	225
846	1236	223
847	1237	222
848	1240	220
849	1241	219
850	1242	217
851	1243	216
852	1243	214
853	1244	213
854	1247	211
855	1249	210
856	1250	208
857	1251	207
858	1256	206
859	1258	205
860	1259	203
861	1259	201
862	1265	201
863	1266	199
864	1266	197
865	1267	196
866	1268	194
867	1270	193
868	1271	191
869	1271	190
870	1272	188
871	1273	187
872	1273	185
873	1274	183
874	1275	182
875	1276	180
876	1277	179
877	1278	177
878	1279	176
879	1280	174
880	1280	173
881	1281	171
882	1281	170
883	1282	168
884	1284	167
885	1286	165
886	1286	164
887	1287	162
888	1287	160
889	1288	159
890	1289	157
891	1290	156
892	1292	155
893	1293	153
894	1294	152
895	1295	150
896	1296	149
897	1297	147
898	1299	146
899	1299	144
900	1301	143
901	1301	141
902	1302	140
903	1303	138
904	1305	137
905	1306	135
906	1307	134
907	1308	132
908	1309	131
909	1310	129
910	1314	128
911	1315	127
912	1316	125
913	1316	124
914	1317	122
915	1319	121
916	1321	119
917	1322	118
918	1322	116
919	1323	115
920	1324	113
921	1325	112
922	1327	110
923	1328	109
924	1329	107
925	1330	106
926	1331	104
927	1338	103
928	1339	102
929	1340	101
930	1343	99
931	1344	98
932	1345	96
933	1346	95
934	1348	93
935	1349	92
936	1350	90
937	1351	89
938	1352	87
939	1357	86
940	1359	85
941	1360	83
942	1361	82
943	1365	81
944	1367	79
945	1368	78
946	1372	76
947	1373	75
948	1373	73
949	1374	72
950	1375	70
951	1376	69
952	1378	68
953	1379	66
954	1380	65
955	1381	63
956	1382	62
957	1382	60
958	1385	59
959	1388	57
960	1394	56
961	1395	55
962	1395	53
963	1396	52
964	1397	50
965	1403	49
966	1404	47
967	1412	46
968	1412	45
969	1413	43
970	1415	42
971	1415	40
972	1416	39
973	1417	37
974	1418	36
975	1419	34
976	1420	33
977	1421	32
978	1422	30
979	1423	29
980	1424	27
981	1424	26
982	1430	24
983	1432	23
984	1432	21
985	1434	20
986	1435	18
987	1436	17
988	1437	16
989	1438	14
990	1438	13
991	1439	11
992	1440	10
993	1441	8
994	1443	7
995	1444	5
996	1445	4
997	1445	2
998	1446	1
999	1447	0
